id,coc,con,brc,brn,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST,cocbrc,Rank,Avg,College,Collegeadd1,District,Pincode,Location,Col Sel,Col All,Col Rank,Brn Sel,Brn all,Brn Rank,Loc Sel,Loc All,Loc Rank,Filter,Sel-all,Fin-Filter,Over-all Rank
62b0bb268da21573831b473b,1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,121.96,,,80,,,116.955,,,1238EE,80,106.305,GRT Institute of Engineering and Technology," GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk",Thiruvallur,631209,"Thiruvallur, Tamil Nadu, India",FALSE,FALSE,64,TRUE,FALSE,52,TRUE,FALSE,54,FALSE,FALSE,FALSE,170
62b0bb278da21573831b4ad3,2659,"Salem College of Engineering and Technology, Salem-Attur Main Road, NH-68, Mettupatty Perumapalayam, Salem District 636111",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,136.7,133.76,,80,,,133.92,,,2659EE,80,121.095,Salem College of Engineering and Technology," Salem-Attur Main Road, NH-68, Mettupatty Perumapalayam",Salem,636111,"Salem, Tamil Nadu, India",FALSE,FALSE,71,TRUE,FALSE,52,FALSE,FALSE,54,FALSE,FALSE,FALSE,177
62b0bb268da21573831b48b2,1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,130.78,,,80,,,,,,1510EE,80,105.39,Priyadarshini Engineering College,Vaniyambadi Post,Tirupattur,635751,"Thiruppattur, Tamil Nadu, India",FALSE,FALSE,71,TRUE,FALSE,52,FALSE,FALSE,71,FALSE,FALSE,FALSE,194
62b0bb278da21573831b4d0e,3804,"Arasu Engineering  College, Chennai Main Road, Kumbakonam, Thanjavur District 612501",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,138.275,113.5,,81,,,,,,3804EC,81,110.925,Arasu Engineering  College," Chennai Main Road, Kumbakonam",Thanjavur,612501,"Thanjavur, Tamil Nadu, India",FALSE,FALSE,68,TRUE,FALSE,25,TRUE,TRUE,58,FALSE,TRUE,TRUE,151
62b0bb268da21573831b48d4,1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District 635854",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,117.64,,,81,,,,,,1519EC,81,99.32,Bharathidasan Engineering College,Nattrampalli Post,Thiruppathur,635854,"Thiruppathur, Tamil Nadu, India",FALSE,FALSE,73,TRUE,FALSE,25,FALSE,FALSE,73,FALSE,FALSE,FALSE,171
62b0bb268da21573831b47f0,1408,"I F E T College of Engineering  (Autonomous), Gangarampalayam, Villupuram District 605108",CE,CIVIL  ENGINEERING,141,136.5,,83,,,,,,1408CE,83,120.1666667,I F E T College of Engineering  (Autonomous),Gangarampalayam,Villupuram,605108,"Villupuram, Tamil Nadu, India",FALSE,FALSE,65,FALSE,FALSE,53,FALSE,FALSE,59,FALSE,FALSE,FALSE,177
62b0bb278da21573831b4a8c,2641,"Varuvan Vadivelan Institute of Technology, Nallanahalli, Dharmapuri District 636701",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,142.815,,,83.5,,,,,,2641EC,83.5,113.1575,Varuvan Vadivelan Institute of Technology,Nallanahalli,Dharmapuri,636701,"Dharmapuri, Tamil Nadu, India",FALSE,FALSE,76,TRUE,FALSE,25,FALSE,FALSE,58,FALSE,FALSE,FALSE,159
62b0bb268da21573831b4847,1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107",ME,MECHANICAL ENGINEERING,130.76,129.11,120.135,84.5,,,113.69,,,1421ME,84.5,115.639,V R S College of Engineering and Technology,Arasur,Villupuram,607107,"Villupuram, Tamil Nadu, India",FALSE,FALSE,70,FALSE,FALSE,53,FALSE,FALSE,59,FALSE,FALSE,FALSE,182
62b0bb268da21573831b484c,1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi  District 606201",ME,MECHANICAL ENGINEERING,126.76,,,85,,,80,,,1430ME,85,97.25333333,Maha Bharathi Engineering College," A Vasudevanur, Chinnasalem",Kallakurichi,606201,"Kallakurichi, Tamil Nadu, India",FALSE,FALSE,76,FALSE,FALSE,53,FALSE,FALSE,68,FALSE,FALSE,FALSE,197
62b0bb278da21573831b4ac7,2657,"Paavai College of Technology, NH-7, Pachal Post, Namakkal District 637018",BT,BIO TECHNOLOGY,153,88,128.5,86,,,87.5,,139.365,2657BT,86,113.7275,Paavai College of Technology," NH-7, Pachal Post",Namakkal,637018,"Namakkal, Tamil Nadu, India",FALSE,FALSE,70,TRUE,FALSE,54,FALSE,FALSE,61,FALSE,FALSE,FALSE,185
