coc,College,Max OC Cut-off,Select,Select all,Weight,Location,Loc Selected,Branch Selected,Loc/Branch Fliter
1,University Departments Of Anna University,199,FALSE,FALSE,51,Chennai,TRUE,TRUE,TRUE
2,University Departments Of Anna University,197.5,FALSE,TRUE,51,Chennai,TRUE,TRUE,TRUE
2006,Psg College Of Technology (Autonomous),197.5,TRUE,TRUE,51,Coimbatore,TRUE,TRUE,TRUE
2007,Coimbatore Institute Of Technology (Autonomous),194.9,TRUE,TRUE,53,Coimbatore,TRUE,TRUE,TRUE
2005,Government College Of Technology (Autonomous),194.615,TRUE,TRUE,53,Coimbatore,TRUE,TRUE,TRUE
2377,Psg Institute Of Technology And Applied Research,194.33,TRUE,TRUE,53,Coimbatore,TRUE,TRUE,TRUE
2712,Kumaraguru College Of Technology (Autonomous),193.49,TRUE,TRUE,53,Coimbatore,TRUE,TRUE,TRUE
3465,Government College Of Engineering,186.745,TRUE,FALSE,57,Trichy-Tiruchirappalli,FALSE,TRUE,FALSE
3011,University College Of Engineering,186.15,TRUE,FALSE,57,Trichy-Tiruchirappalli,FALSE,TRUE,FALSE
3819,Saranathan College Of  Engineering,184.385,TRUE,FALSE,58,Trichy-Tiruchirappalli,FALSE,TRUE,FALSE
1399,Chennai Institute Of Technology,193.095,FALSE,FALSE,53,Chennai,TRUE,TRUE,TRUE
1450,Loyola-Icam College Of Engineering And Technology,192,FALSE,FALSE,54,Chennai,TRUE,TRUE,TRUE
2718,Sri Krishna College Of Enginering And Technology (Autonomous),192,TRUE,TRUE,54,Coimbatore,TRUE,TRUE,TRUE
1317,St. Josephõs College Of Engineering (Autonomous),191.21,FALSE,FALSE,54,Chennai,TRUE,TRUE,TRUE
1304,Easwari Engineering College (Autonomous),190.945,FALSE,FALSE,55,Chennai,TRUE,TRUE,TRUE
2025,Anna University Regional Campus - Coimbatore,190.57,TRUE,TRUE,55,Coimbatore,TRUE,TRUE,TRUE
1419,Sri Sairam Enginering College (Autonomous),190.525,FALSE,FALSE,55,Chennai,TRUE,TRUE,TRUE
2719,Sri Ramakrishna Engineering College (Autonomous),188.665,FALSE,FALSE,56,Coimbatore,TRUE,TRUE,TRUE
3830,K Ramakrishnan College Of Engineering (Autonomous),183.79,FALSE,FALSE,58,Trichy-Tiruchirappalli,FALSE,TRUE,FALSE
1309,Meenakshi Sundararajan Engineering College,188.075,FALSE,FALSE,56,Chennai,TRUE,TRUE,TRUE
2722,Sri Krishna College Of Technology (Autonomous),188.015,FALSE,FALSE,56,Coimbatore,TRUE,TRUE,TRUE
1210,Panimalar Engineering College (Autonomous),187.405,FALSE,FALSE,56,Chennai,TRUE,TRUE,TRUE
3826,Kongunadu College Of Engineering And Technology (Autonomous),181.69,FALSE,FALSE,59,Trichy-Tiruchirappalli,FALSE,TRUE,FALSE
3795,Srm Trp Engineering College,181.56,FALSE,FALSE,59,Trichy-Tiruchirappalli,FALSE,TRUE,FALSE
